# Policy only: command<TAB>safe empty-prefix default<TAB>human-facing prominence
# tier. Syntax is generated from pinned Carapace specifications into
# generated-command-tree.tsv; this list ranks candidates and supplies safe
# defaults, while the generated corpus supplies broad multi-level syntax.
apt	update	update,upgrade,install,remove,search,show,autoremove
apt-get	update	update,upgrade,install,remove,autoremove
docker	ps	ps,images,exec,logs,run,pull,compose,inspect,stats,build,network,volume
podman	ps	ps,images,exec,logs,run,pull,inspect,stats,build,network,volume
git	status	status,diff,log,switch,add,restore,commit,checkout,clone,clean,push,pull,fetch,branch,merge,rebase,remote,show,tag,stash
systemctl	status	status,list-units,is-active,is-enabled,restart,start,stop,enable,disable,daemon-reload
journalctl	-f	-f,-xe,-b,--since,--unit,--user
kubectl	get	get,describe,logs,config,apply,diff,explain,rollout,top,exec,port-forward
helm	list	list,status,history,show,search,template,diff,upgrade,install,uninstall,repo
cargo	check	check,build,test,run,fmt,clippy,update,add,remove,tree,doc,clean
rustup	show	show,update,target,toolchain,component,default
dotnet	build	build,test,run,restore,publish,new,tool,clean,pack,sln,add,list
npm	install	install,test,run,start,ci,update,outdated,add,remove,exec,init
pnpm	install	install,test,run,start,add,remove,update,outdated,exec,dlx
yarn	install	install,test,run,start,add,remove,upgrade,dlx
go	test	test,build,run,fmt,vet,get,install,mod,work,env,clean
python3	-m	-m,-c,--version
python	-m	-m,-c,--version
pip	install	install,uninstall,list,show,freeze,check,download,wheel
pip3	install	install,uninstall,list,show,freeze,check,download,wheel
ls	-la	-la,-l,-a,-lh,--color
find	.	.,-name,-type,-maxdepth,-mindepth,-newer,-size,-exec
grep	-R	-R,-n,-i,-E,-F,-v,--color
rg	--hidden	--hidden,--files,-n,-i,-g,-t,--type-list
fd	.	.,--hidden,--type,--extension,--glob
curl	-L	-L,-I,-o,-O,-X,--data,--json,--fail,--retry
wget	-c	-c,-O,-q,--mirror,--spider
rsync	-av	-av,-a,-v,-n,--delete,--exclude
tar	-tf	-tf,-xf,-czf,-xzf,-cJf,-xJf
zip	-r	-r,-u,-d,-e
unzip	-l	-l,-t,-o,-d
df	-h	-h,-T,-i
du	-sh	-sh,-h,-s,-a,--max-depth
free	-h	-h,-m,-g,-s
ps	aux	aux,-ef,-eo
ip	addr	addr,link,route,neigh,-br
ss	-tulpn	-tulpn,-ltnp,-lunp,-s
gh	status	status,repo,pr,issue,run,workflow,release,auth,api,browse
flatpak	list	list,search,info,update,install,uninstall,run,history
snap	list	list,find,info,refresh,install,remove,changes
make	-	-j,-n,-C,-f
cmake	--build	--build,--install,--preset,--workflow,-S,-B
jq	.	.,-r,-c,-s,-n,--arg,--slurpfile
yq	.	.,-r,-o,-i,-n
terraform	plan	plan,show,validate,fmt,providers,output,state,workspace,init,apply,destroy,import,refresh,taint,untaint,test,graph,version
tofu	plan	plan,show,validate,fmt,providers,output,state,workspace,init,apply,destroy,import,refresh,taint,untaint,test,graph,version
ansible	--version	--version,--list-hosts,--list-tasks,--list-tags,--check,--diff,--syntax-check,-m,-a,-i
ansible-playbook	--syntax-check	--syntax-check,--check,--diff,--list-hosts,--list-tasks,--list-tags,--start-at-task,-i,-e,-t
aws	-	help,configure,sso,sts,ec2,s3,s3api,iam,lambda,logs,cloudformation,cloudwatch,ecr,ecs,eks,rds,secretsmanager,ssm
az	-	account,acr,aks,appservice,container,cosmosdb,group,keyvault,login,logout,network,postgres,redis,resource,role,storage,vm,webapp
gcloud	-	info,version,auth,config,projects,compute,container,run,functions,app,sql,storage,secrets,artifacts,builds,logging
doctl	-	account,auth,compute,databases,kubernetes,registry,serverless,monitoring,projects,balance,version
flyctl	status	status,apps,auth,config,checks,deploy,doctor,logs,machine,proxy,releases,scale,secrets,ssh,version
vercel	list	list,inspect,logs,dev,build,deploy,link,env,domains,projects,teams,whoami,login,logout
netlify	status	status,sites,functions,env,dev,build,deploy,link,logs,open,login,logout
heroku	status	status,apps,auth,config,domains,logs,maintenance,pipelines,ps,releases,reviewapps,run,addons
uv	-	run,sync,lock,tree,add,remove,python,pip,venv,build,publish,tool,cache,self,version
poetry	-	show,check,env,install,lock,run,build,add,remove,update,publish,config,self,version
conda	info	info,list,search,env,create,install,update,remove,run,config,clean,doctor,notices
mamba	info	info,list,search,env,create,install,update,remove,run,config,clean
bun	install	install,test,run,x,create,add,remove,update,link,build,init,pm,repl,upgrade
deno	-	info,task,run,test,check,lint,fmt,doc,compile,install,uninstall,bench,repl,upgrade
composer	install	install,show,outdated,audit,validate,diagnose,update,require,remove,run-script,config,dump-autoload
bundle	install	install,list,show,info,check,update,add,remove,exec,config,doctor,lock,platform,gem
gem	list	list,search,info,environment,install,uninstall,update,outdated,cleanup,build,push,owner
mvn	test	test,verify,validate,compile,package,install,deploy,clean,site,dependency:tree,help:effective-pom
gradle	tasks	tasks,projects,properties,dependencies,build,test,check,assemble,clean,help,init,wrapper
nix	-	search,flake,profile,store,path,registry,develop,shell,run,build,eval,repl,why-depends,doctor
tmux	list-sessions	list-sessions,list-windows,list-panes,attach-session,new-session,has-session,show-options,show-environment,kill-session
ufw	status	status,show,app,allow,deny,reject,limit,delete,insert,route,enable,disable,reload,reset
nmcli	general	general,networking,radio,connection,device,agent,monitor
virsh	list	list,dominfo,domstate,domifaddr,net-list,pool-list,vol-list,start,shutdown,reboot,destroy,console,edit,define,undefine
vagrant	status	status,global-status,validate,box,plugin,port,snapshot,ssh,up,halt,reload,suspend,resume,destroy
multipass	list	list,info,find,version,launch,start,stop,restart,suspend,delete,recover,purge,shell,exec,mount,transfer
lxc	list	list,info,config,profile,network,storage,image,project,cluster,query,launch,init,start,stop,restart,exec,file,snapshot
