# Generated from Carapace 1.7.3 export trees; do not edit by hand.
acpi	-	--ac-adapter,--battery,--cooling,--details,--directory,--everything,--fahrenheit,--help,--kelvin,--proc,--show-empty,--thermal,--version,-V,-a,-b,-c,-d,-f,-h,-i,-k,-p,-s,-t,-v	-
acpid	-	--confdir,--dropaction,--eventfile,--foreground,--help,--lockfile,--logevents,--netlink,--nosocket,--pidfile,--socketfile,--socketgroup,--socketmode,--tpmutefix,--version,-L,-S,-c,-e,-f,-g,-h,-l,-m,-n,-p,-r,-s,-t,-v	-
adb	bugreport,connect,devices,disable-verity,disconnect,emu,enable-verity,forward,get-devpath,get-serialno,get-state,help,install,install-multi-package,install-multiple,jdwp,keygen,kill-server,logcat,mdns,pair,ppp,pull,push,reboot,reconnect,remount,reverse,root,shell,sideload,start-server,sync,tcpip,uninstall,unroot,usb,version,wait-for-bootloader,wait-for-device,wait-for-disconnect,wait-for-local-bootloader,wait-for-local-device,wait-for-local-disconnect,wait-for-local-recovery,wait-for-local-rescue,wait-for-local-sideload,wait-for-recovery,wait-for-rescue,wait-for-sideload,wait-for-usb-bootloader,wait-for-usb-disconnect,wait-for-usb-recovery,wait-for-usb-rescue,wait-for-usb-sideload	-H,-L,-P,-a,-d,-e,-s,-t	-
adb bugreport	-	-	path
adb connect	-	-	-
adb devices	-	-l	-
adb disable-verity	-	-	-
adb disconnect	-	-	-
adb emu	-	-	-
adb enable-verity	-	-	-
adb forward	-	--list,--no-rebind,--remove,--remove-all	-
adb get-devpath	-	-	-
adb get-serialno	-	-	-
adb get-state	-	-	-
adb help	-	-	-
adb install	-	--instant,-d,-g,-l,-r,-s,-t	path
adb install-multi-package	-	--abi,--date-check-agent,--fastdeploy,--force-agent,--instant,--local-agent,--no-fastdeploy,--no-streaming,--streaming,--version-check-agent,-d,-g,-p,-r,-t	path
adb install-multiple	-	--instant,-d,-g,-l,-r,-s,-t	path
adb jdwp	-	-	-
adb keygen	-	-	path
adb kill-server	-	-	-
adb logcat	-	-	-
adb mdns	check,services	-	-
adb mdns check	-	-	-
adb mdns services	-	-	-
adb pair	-	-	-
adb ppp	-	-	-
adb pull	-	-Z,-a,-z	-
adb push	-	--sync,-Z,-n,-z	path
adb reboot	-	-	-
adb reconnect	device,offline	-	-
adb reconnect device	-	-	-
adb reconnect offline	-	-	-
adb remount	-	-R	-
adb reverse	-	--list,--no-rebind,--remove,--remove-all	-
adb root	-	-	-
adb shell	-	-T,-e,-n,-t,-x	-
adb sideload	-	-	path
adb start-server	-	-	-
adb sync	-	-Z,-l,-n,-z	-
adb tcpip	-	-	-
adb uninstall	-	-k	path
adb unroot	-	-	-
adb usb	-	-	-
adb version	-	-	-
adb wait-for-bootloader	-	-	-
adb wait-for-device	-	-	-
adb wait-for-disconnect	-	-	-
adb wait-for-local-bootloader	-	-	-
adb wait-for-local-device	-	-	-
adb wait-for-local-disconnect	-	-	-
adb wait-for-local-recovery	-	-	-
adb wait-for-local-rescue	-	-	-
adb wait-for-local-sideload	-	-	-
adb wait-for-recovery	-	-	-
