# command path<TAB>safe empty-prefix default<TAB>human-facing actions
docker compose	ps	ps,up,down,logs,exec,run,build,pull,push,restart,stop,start,config,images,events,top,version
docker container	ls	ls,inspect,logs,stats,top,exec,run,start,stop,restart,kill,rename,wait,prune,rm
docker image	ls	ls,inspect,history,pull,push,build,tag,save,load,import,prune,rm
docker network	ls	ls,inspect,create,connect,disconnect,prune,rm
docker volume	ls	ls,inspect,create,prune,rm
docker system	df	df,events,info,prune
podman container	ls	ls,inspect,logs,stats,top,exec,run,start,stop,restart,kill,rename,wait,prune,rm
podman image	ls	ls,inspect,history,pull,push,build,tag,save,load,import,prune,rm
podman network	ls	ls,inspect,create,connect,disconnect,prune,rm
podman volume	ls	ls,inspect,create,prune,rm
podman system	df	df,info,prune,reset,renumber,migrate
git branch	--list	--list,--show-current,--all,--remotes,--contains,--merged,--no-merged,--delete,--move,--copy
git remote	-v	-v,show,get-url,add,set-url,rename,remove,prune,update
git stash	list	list,show,push,pop,apply,drop,branch,clear,create,store
git worktree	list	list,add,move,remove,lock,unlock,prune,repair
git submodule	status	status,summary,update,init,deinit,sync,foreach,set-branch,set-url
git config	--list	--list,--get,--get-all,--get-regexp,--show-origin,--global,--local,--system,--unset,--edit
kubectl config	view	view,current-context,get-contexts,use-context,set-context,delete-context,rename-context,set-cluster,set-credentials,unset
kubectl rollout	status	status,history,restart,pause,resume,undo
kubectl auth	can-i	can-i,reconcile
kubectl cluster-info	-	dump
kubectl create	-	deployment,service,namespace,configmap,secret,job,cronjob,token,quota,role,rolebinding
kubectl top	-	pod,node
helm repo	list	list,add,remove,update,index
helm plugin	list	list,install,update,uninstall
gh pr	list	list,status,view,checks,diff,checkout,create,ready,review,comment,merge,close,reopen
gh issue	list	list,status,view,create,develop,comment,edit,close,reopen,delete,lock,pin,transfer
gh repo	view	view,list,clone,fork,create,sync,archive,rename,delete,set-default
gh run	list	list,view,watch,rerun,cancel,delete,download
gh workflow	list	list,view,run,enable,disable
gh release	list	list,view,create,download,upload,edit,delete,verify
gh auth	status	status,login,logout,refresh,setup-git,switch,token
rustup target	list	list,add,remove
rustup toolchain	list	list,install,uninstall,link
rustup component	list	list,add,remove
dotnet tool	list	list,search,install,update,uninstall,restore,run
dotnet new	list	list,search,install,uninstall,update
dotnet sln	list	list,add,remove
npm cache	verify	verify,clean,add
npm config	list	list,get,set,delete,edit,fix
npm dist-tag	ls	ls,add,rm
pnpm store	status	status,path,prune,add
go mod	tidy	tidy,download,graph,init,verify,why,vendor,edit
go work	sync	sync,init,use,edit,vendor
pip cache	info	info,list,dir,purge,remove
pip config	list	list,get,set,unset,debug,edit
ip address	show	show,add,change,replace,delete,flush
ip addr	show	show,add,change,replace,delete,flush
ip link	show	show,set,add,delete,property,xstats,afstats
ip route	show	show,get,add,append,change,replace,delete,flush,save,restore
ip neigh	show	show,get,add,change,replace,delete,flush
flatpak remote	-	add,delete,modify,info,ls
